"inst_cat","institutioncode","catalognumber","key","eventdate","latitude","longitude","name","collectioncode","source"
"nysm_zo-2108","nysm","zo-2108","00d06068-48de-496f-bf60-c7a3ff39a885","1893-05-24","41.72222","-74.13556","butorides virescens","zo","idigbio"
"wfvz_205573","wfvz","205573","00d4a219-2be8-4c28-96eb-6d4b71e7688c","1891-06-04",NA,NA,"butorides virescens","eggs","idigbio"
"mlz_9758","mlz","9758","00f758f6-309d-4f2c-9455-52afd5384820","1933-10-01","25.458424","-108.079763","butorides virescens","bird specimens","idigbio"
"psm_bird-10667","psm","bird-10667","0107f0ef-b39d-47fc-bce4-357ae0c06cee","1954-07-24","47.2530556","-122.4430556","butorides virescens","bird","idigbio"
"mmnh_20040","mmnh","20040","01209d5c-090e-4440-af56-d317f12f24de","1961-08-09",NA,NA,"butorides virescens","bird","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds e 4338","ohio state university - bird division, columbus, oh (osum)","osum birds e 4338","0121bfbb-223f-4367-a806-63e39254131a",NA,"40.8424","-83.3044","butorides virescens","birds","idigbio"
"wfvz_205497","wfvz","205497","0148d721-66b3-4ba0-a136-39bc84b4901c","1888-06-15",NA,NA,"butorides virescens","eggs","idigbio"
"sdnhm_50440","sdnhm","50440","01575890-12f7-4b13-be4e-8d1646004417","1999-06-23","32.7786153","-117.230301","butorides virescens","birds","idigbio"
"nysm_zo-11528","nysm","zo-11528","01610d9c-6171-4402-a5b6-27aec680622f","1905-05-24","42.451541","-73.65451","butorides virescens","zo","idigbio"
"wfvz_43340","wfvz","43340","01613b06-03ad-4267-bfae-f20a5c7ce682","1985-07-11","33.663925","-117.9167747","butorides virescens","bird","idigbio"
"tcwc_13140","tcwc","13140","0189d12c-34b0-4abb-85f7-8331c3ea44c4","1994-05-15",NA,NA,"butorides virescens","birds","idigbio"
"psm_bird-04558","psm","bird-04558","01b98497-e563-43bf-ae7c-d2cc5ddc3940","1951-09-26","45.4562159","-123.8440137","butorides virescens","bird","idigbio"
"wfvz_205508","wfvz","205508","021029f5-3e79-419b-8267-cbe1b22f0f32","1900-05-21","28.308002","-97.153378","butorides virescens","eggs","idigbio"
"crcm_57-169","crcm","57-169","02bd45e7-5a74-488d-ae57-a345dbc35f57","1957-03-01/1957-03-31",NA,NA,"butorides virescens","birds","idigbio"
"crcm_58-311","crcm","58-311","03127ca3-ef62-463a-b6a0-60f11b513d48","1958-08-15","42.072138","-76.095448","butorides virescens","birds","idigbio"
"omnh_21084.0","omnh","21084.0","03377082-fe93-4148-8e9a-70c3b184dea9",NA,NA,NA,"butorides virescens","birds","idigbio"
"psm_bird-20467","psm","bird-20467","0401ea32-f411-491b-a9f1-2c9a4419bd84","1993-08-26","46.8217664","-123.0962516","butorides virescens","bird","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds b 9020","ohio state university - bird division, columbus, oh (osum)","osum birds b 9020","0406bd32-0f44-40a3-8641-b638f586eae6",NA,"40.2503","-83.0002","butorides virescens","birds","idigbio"
"mmnh_3806","mmnh","3806","04582ee1-128e-466a-b017-794fad9c6b29","1909-08-08",NA,NA,"butorides virescens","bird","idigbio"
"mmnh_20056","mmnh","20056","049bc462-a570-4968-80e3-737495074602","1964-05-10",NA,NA,"butorides virescens","bird","idigbio"
"sdnhm_47003","sdnhm","47003","04a5ee4c-46e9-4998-be0b-beeff0ddee7c","1990-09-23","32.8462","-116.916795","butorides virescens","birds","idigbio"
"psm_bird-11862","psm","bird-11862","050b1bad-6f32-40a0-a19a-2347baa3c42d","1941-05-24","29.5582409","-96.3352432","butorides virescens","bird","idigbio"
"wfvz_9413","wfvz","9413","0523c8a7-03d0-4e2d-83a4-9b907e308c6d","1962-11-10","16.2508238","-92.1334874","butorides virescens","bird","idigbio"
"wfvz_205512","wfvz","205512","05600e89-7aa8-456b-b9f0-3410d050509b","1892-05-16","38.244454","-122.632762","butorides virescens","eggs","idigbio"
"wfvz_205489","wfvz","205489","063319ff-f60f-48ed-a864-40a0000b6f44","1890-06-17",NA,NA,"butorides virescens","eggs","idigbio"
"wfvz_205522","wfvz","205522","06a5fdf4-bd71-4284-b8f4-59ec7a85f9e3","1916-05-14",NA,NA,"butorides virescens","eggs","idigbio"
"mlz_11716","mlz","11716","074ed3f5-4274-4d2c-8712-79ee6aa7a9bf","1933-09-12","26.816667","-108.533333","butorides virescens","bird specimens","idigbio"
"wfvz_205537","wfvz","205537","0786c23e-c40f-4c34-b0d6-d53b65b3d44e","1914-06-07",NA,NA,"butorides virescens","eggs","idigbio"
"wfvz_19845","wfvz","19845","0867f9e4-15b0-4c71-b8e5-4a1a4fe0da70","1974-04-13",NA,NA,"butorides virescens","bird","idigbio"
"psm_bird-21100","psm","bird-21100","08a602cd-bc7c-403e-a44b-efdcc71fadd1","1994-07-22","46.8567663","-122.8529094","butorides virescens","bird","idigbio"
"uwbm_45754","uwbm","45754","0961fbba-8b5a-4fbf-aa11-f502573bb342","1988-05-02","29.7533496","-93.7612724","butorides virescens","bird","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds b 5625","ohio state university - bird division, columbus, oh (osum)","osum birds b 5625","098dccde-f2d0-487c-b981-ee87cbc757f8",NA,"40.2503","-83.0002","butorides virescens","birds","idigbio"
"ummz_28777","ummz","28777","0a24a2bf-172b-456d-a422-0c8b815a6684",NA,NA,NA,"butorides virescens","birds","idigbio"
"wfvz_205529","wfvz","205529","0a277a72-9422-4be5-b287-7bd78d21f1fe","1918-04-30",NA,NA,"butorides virescens","eggs","idigbio"
"tcwc_13322","tcwc","13322","0a7a2b42-a811-45f7-9838-b58505ad2595","1994-05-15",NA,NA,"butorides virescens","birds","idigbio"
"msb_29841","msb","29841","0a892cb1-3a11-4651-9a96-56dc8f7198fc","2008-09-09",NA,NA,"butorides virescens","bird specimens","idigbio"
"wfvz_3354","wfvz","3354","0b17cc76-d72d-4b1a-8615-627fc57e3f3f","1914-05-18","33.7864951","-118.2933139","butorides virescens","bird","idigbio"
"ccber_30315","ccber","30315","0b3d3c91-d751-495a-b00c-8a194710acd3",NA,NA,NA,"butorides virescens","birds","idigbio"
"omnh_12072.0","omnh","12072.0","0b5356c3-d6fe-4dc2-9333-b65def2d1138","1972-05-30",NA,NA,"butorides virescens","birds","idigbio"
"dmns_6887","dmns","6887","0b58e3d6-f3dd-42f9-a714-d1d44ca1552f","1917-05-18","32.2477777778","-80.7805555556","butorides virescens","bird specimens","idigbio"
"mmnh_20045","mmnh","20045","0b62621d-f7e3-4d84-8d50-a43202672daa","1960-07-27",NA,NA,"butorides virescens","bird","idigbio"
"tcwc_12978","tcwc","12978","0bc27224-1729-41bf-aa49-4a45b76fbc42",NA,NA,NA,"butorides virescens","birds","idigbio"
"wfvz_647","wfvz","647","0c263a38-02e6-45fb-a024-8be41f2f438d","2004-08-06","34.400247","-119.299778","butorides virescens","bird","idigbio"
"wfvz_205521","wfvz","205521","0d70fc83-ce7d-4ea9-9484-568d6b05f786","1916-05-10","38.47359","-122.662936","butorides virescens","eggs","idigbio"
"mmnh_5972","mmnh","5972","0d983295-6f18-440d-8972-b307d7a91cff","1894-09-05",NA,NA,"butorides virescens","bird","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds e 5089","ohio state university - bird division, columbus, oh (osum)","osum birds e 5089","0dc79ae7-533b-4644-bef4-7d4530741113",NA,"40.8424","-83.3044","butorides virescens","birds","idigbio"
"mlz_11770","mlz","11770","0f41f07e-bc95-4033-998f-e779d7708de9","1934-09-17","22.993252","-105.858632","butorides virescens","bird specimens","idigbio"
"ncsm_16822","ncsm","16822","0f6471ca-abc7-4d8c-9fcc-1cbf83661443",NA,NA,NA,"butorides virescens","ncsm-birds","idigbio"
"wfvz_205486","wfvz","205486","0fc9dca5-ca7c-4977-84b6-eea31572ef31","1877-06-16",NA,NA,"butorides virescens","eggs","idigbio"
"nysm_zo-1779","nysm","zo-1779","0fd63670-fcbe-4f9f-873c-be41bbb41812",NA,"42.94667","-75.51265","butorides virescens","zo","idigbio"
"tcwc_15368","tcwc","15368","0fde1897-3839-4e46-aba6-b694244a4276","1979-09-20",NA,NA,"butorides virescens","birds","idigbio"
"nysm_zo-10157","nysm","zo-10157","10078e27-cfc4-4699-9966-771af97acc0c","1894-05-24",NA,NA,"butorides virescens","zo","idigbio"
"mmnh_25873","mmnh","25873","10429472-3b7e-4187-a878-a38db1713b6f","1972-05-14",NA,NA,"butorides virescens","bird","idigbio"
"uwbm_55873","uwbm","55873","104b4475-452c-4357-80e3-5cda089b9343","1985-06-06","27.8764614","-82.4000705","butorides virescens","bird","idigbio"
"mmnh_20046","mmnh","20046","105aa050-6d5a-4e59-bbf8-69ccf141022c","1961-08-04",NA,NA,"butorides virescens","bird","idigbio"
"wfvz_205568","wfvz","205568","10784086-287f-48c6-a78a-983ad344718b","1928-05-20",NA,NA,"butorides virescens","eggs","idigbio"
"uwbm_38290","uwbm","38290","109a4252-4a11-4d5a-af1a-0f73e40c0146","1982-08-20","30.0324384","-89.8833157","butorides virescens","bird","idigbio"
"nysm_zo-11532","nysm","zo-11532","1150247d-6f60-4340-b6c6-892c5065cffb",NA,"43.048374","-75.378445","butorides virescens","zo","idigbio"
"ncsm_18190","ncsm","18190","11ee52ae-e8c7-4752-9e42-63c7c107322e",NA,NA,NA,"butorides virescens","ncsm-birds","idigbio"
"nysm_zo-11527","nysm","zo-11527","11fe20c5-4b87-47d8-8455-1d6c24429964","1904-06-07","42.451541","-73.65451","butorides virescens","zo","idigbio"
"mlz_52777","mlz","52777","120283cd-4262-4f3d-8230-b33ad929967e","1950-10-16","18.402414","-95.123941","butorides virescens","bird specimens","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds b 10408","ohio state university - bird division, columbus, oh (osum)","osum birds b 10408","120f0993-2371-4857-b9ba-7b3c2ae0368c",NA,"40.8424","-83.3044","butorides virescens","birds","idigbio"
"mmnh_47236","mmnh","47236","1270ebda-2bb9-418f-ba0f-ce611f397e00","2011-08-17",NA,NA,"butorides virescens","bird","idigbio"
"ypm_ypm orn 112302","ypm","ypm orn 112302","127a7ace-1de0-452e-a445-0a571856ad22",NA,"41.6022","-72.9872","butorides virescens","vz","idigbio"
"wfvz_205547","wfvz","205547","12ffa6a4-c193-452a-8ec3-613e8c094a6c","1894-05-15",NA,NA,"butorides virescens","eggs","idigbio"
"nysm_zo-11550","nysm","zo-11550","1306ca92-669f-40cc-84aa-2ab9bc1c486d","1899-06-18","42.793809","-73.757889","butorides virescens","zo","idigbio"
"wfvz_205550","wfvz","205550","1329c737-0e95-4ede-b7a4-903de79ca9b4","1909-06-05",NA,NA,"butorides virescens","eggs","idigbio"
"ncsm_16857","ncsm","16857","136df6aa-d133-42ec-ae0d-6e036f77c2f8",NA,NA,NA,"butorides virescens","ncsm-birds","idigbio"
"mmnh_11789","mmnh","11789","13820d2c-7f6d-48a1-b1a7-35c12c25b04c","1956-01-11",NA,NA,"butorides virescens","bird","idigbio"
"nysm_zo-11529","nysm","zo-11529","13c96cd6-5af3-4517-b90e-591a3c345bab","1909-04-15","32.837981","-79.772354","butorides virescens","zo","idigbio"
"dmnh_84445","dmnh","84445","13d3ec6c-42ec-4c8e-930a-02b64e45d35d","2000-06-28","38.8846","-75.8272","butorides virescens","bird","idigbio"
"psm_bird-03291","psm","bird-03291","13e60f98-fc76-4581-b964-e5bb406908c0","1948-08-10","45.533545","-122.640896","butorides virescens","bird","idigbio"
"chas_ool-1487","chas","ool-1487","1588484a-0e39-4001-91d1-50dcbf56e098","1915-05-15",NA,NA,"butorides virescens","oology","idigbio"
"dmns_6258","dmns","6258","158c38b5-267f-4156-aa5d-2153a4cfd550","1911-05-10",NA,NA,"butorides virescens","bird eggs/nests","idigbio"
"ypm_ypm orn 102867","ypm","ypm orn 102867","16071ac0-0509-4ae6-99c9-ef69f7ea6755",NA,NA,NA,"butorides virescens","vz","idigbio"
"hsu_3369","hsu","3369","161cfb0e-0ada-46c3-b105-0359292a4fca","1932-06-11",NA,NA,"butorides virescens","wildlifeeggsnest","idigbio"
"psm_bird-04910","psm","bird-04910","162cb08a-6795-47b1-8aad-ef632d6515c7","1935-08-19","45.298921","-122.359863","butorides virescens","bird","idigbio"
"nysm_zo-14221","nysm","zo-14221","163b5f49-5662-4dcd-8404-81f1e602416d","1901-11-18","43.109621","-77.473739","butorides virescens","zo","idigbio"
"wfvz_9410","wfvz","9410","16982523-2be7-4622-af55-e0adda7eecb7","1962-10-01","16.1008319","-91.7334789","butorides virescens","bird","idigbio"
"msu_or.7110","msu","or.7110","16c33e71-0cda-4439-9565-f1af401e94f2","1962",NA,NA,"butorides virescens","or","idigbio"
"msb_25741","msb","25741","16d8a13b-400e-43f5-bda6-34464450cd43","2005-08-25",NA,NA,"butorides virescens","bird specimens","idigbio"
"ncsm_22306","ncsm","22306","17087f9b-50b6-4d80-9970-e4be1751fc3c",NA,NA,NA,"butorides virescens","ncsm-birds","idigbio"
"psm_bird-17572","psm","bird-17572","173d13f7-a374-480c-9bd8-6ed57512c6ac","1956-01-15",NA,NA,"butorides virescens","bird","idigbio"
"nysm_zo-2104","nysm","zo-2104","1750f633-4c5e-4be9-8e48-de106acc1593","1905-05-24","42.451541","-73.65451","butorides virescens","zo","idigbio"
"crcm_75-833","crcm","75-833","178d2b1e-e22f-4e90-8d93-0db6372416bc","1932-01-01/1932-12-31","32.690178","-80.850663","butorides virescens","birds","idigbio"
"mmnh_20051","mmnh","20051","17d1de65-4420-4b84-a257-11cbd2e2b004","1962-03-21",NA,NA,"butorides virescens","bird","idigbio"
"omnh_13839.0","omnh","13839.0","17d8714a-4a75-4bbe-9f80-125c032fd252","1925-07-17","34.6185172","-95.2247715","butorides virescens","birds","idigbio"
"psm_bird-04527","psm","bird-04527","17ee4ee8-6c72-4540-a1ad-6ffb29ce4b42","1951-08-20","45.481819","-122.629766","butorides virescens","bird","idigbio"
"uwbm_21175","uwbm","21175","17f54846-a8a1-47c7-90c5-797c5f6b933e","1965-05-01",NA,NA,"butorides virescens","bird","idigbio"
"mmnh_23356","mmnh","23356","183e2a0c-3f06-4c14-9a24-9acf2e473bc7","1964-10-07",NA,NA,"butorides virescens","bird","idigbio"
"uwbm_45935","uwbm","45935","1880b842-fb0c-48d6-b96a-8002c9c99be2","1988-05-03","29.7374439","-92.8320885","butorides virescens","bird","idigbio"
"kstc_jr-21","kstc","jr-21","18c51f0b-7e6d-48d2-9e90-fee0ff788560","9/14/1963",NA,NA,"butorides virescens","johnredmond","idigbio"
"psm_bird-17574","psm","bird-17574","18c83f1f-9502-4cde-bb97-15a4c82eb319","1951-02-12",NA,NA,"butorides virescens","bird","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds e 579","ohio state university - bird division, columbus, oh (osum)","osum birds e 579","191d9523-0800-4da6-bf8d-53cc28f604e9",NA,"40.8424","-83.3044","butorides virescens","birds","idigbio"
"ohio state university - bird division, columbus, oh (osum)_osum birds e 4314","ohio state university - bird division, columbus, oh (osum)","osum birds e 4314","196c1afe-0395-4edf-b48f-4102590a2b63",NA,"40.8424","-83.3044","butorides virescens","birds","idigbio"
"psm_bird-11866","psm","bird-11866","19b94074-c8cc-4b02-8f98-100a6bcf238a","1925-05-22","36.606617","-120.189045","butorides virescens","bird","idigbio"
"mcz_431","mcz","431","19fc1747-02ee-4191-abf5-7ba1df6d5c2a","1859-01-01/1859-12-31",NA,NA,"butorides virescens","orn","idigbio"
"hsu_2856","hsu","2856","1a478b72-74fe-42bc-a731-b54a20bdff3d","1898-05-26",NA,NA,"butorides virescens","wildlifeeggsnest","idigbio"
"msu_or.6996","msu","or.6996","1a5d0ff2-aaff-401a-9c94-a7cfd3d709c7","1963-07-10",NA,NA,"butorides virescens","or","idigbio"
"uwbm_103783","uwbm","103783","1ad810d2-3a80-44cd-bdd8-47339a09d1f4","2000-01-04",NA,NA,"butorides virescens","bird","idigbio"
"nysm_zo-11544","nysm","zo-11544","1b0ffca6-e5d6-44af-a853-9f6fb7700fb6","1898-05-21","41.60527","-72.878168","butorides virescens","zo","idigbio"
"mcz_2049","mcz","2049","1bdaecdb-5a9e-439f-8769-28e988aeaa2e","1858-04-18",NA,NA,"butorides virescens","orn","idigbio"
"omnh_12070.0","omnh","12070.0","1c10753d-3100-42a2-bc9b-592fe7b1fb73","1972-05-30",NA,NA,"butorides virescens","birds","idigbio"
