"","barcodevalue","basisofrecord","bed","catalognumber","class","collectioncode","collectionid","collectionname","collector","commonname","continent","country","countrycode","county","datecollected","datemodified","dqs","earliestageorloweststage","earliestepochorlowestseries","earliesteraorlowesterathem","earliestperiodorlowestsystem","etag","eventdate","family","fieldnumber","formation","gbif_cannonicalname","gbif_genus","gbif_specificepithet","gbif_taxonid","genus","latitude","longitude","group","hasImage","highertaxon","individualcount","infraspecificepithet","institutioncode","institutionid","institutionname","kingdom","latestageorhigheststage","latestepochorhighestseries","latesteraorhighesterathem","latestperiodorhighestsystem","lithostratigraphicterms","locality","lowestbiostratigraphiczone","maxdepth","maxelevation","member","mindepth","minelevation","municipality","occurrenceid","order","phylum","recordnumber","recordset","name","specificepithet","stateprovince","typestatus","uuid","verbatimeventdate","verbatimlocality","version","waterbody","prov","inst_cat"
"1",NA,"preservedspecimen",NA,"zo-2108","aves","zo",NA,NA,"young, c.c.",NA,"north america","united states","usa","ulster",1893-05-24 00:00:00,"2015-02-22T10:53:48.237000+00:00","0.416666666666667",NA,NA,NA,NA,"ef24d8361e5fb110a3263ff392cb5c9c4ea53426","1893-05-24","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","41.72222","-74.13556",NA,"FALSE","animalia | chordata | aves | [not recorded] | ardeidae | butorides","1",NA,"nysm","urn:lsid:biocol.org:col:35009",NA,"animalia",NA,NA,NA,NA,NA,"libertyville twp.  [not recorded].",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:nysm:zo:zo-2108","pelecaniformes","chordata",NA,"a8f0fbaf-68b3-4e73-83d7-24d238ac966d","butorides virescens","virescens","new york",NA,"00d06068-48de-496f-bf60-c7a3ff39a885","1893-05-24","usa | new york | ulster | libertyville twp.  [not recorded].",NA,NA,"idigbio","nysm_zo-2108"
"2",NA,"preservedspecimen",NA,"205573","aves","eggs",NA,NA,"geo m. coulter","green heron","north america","united states","usa","nemaha",1891-06-04 00:00:00,"2015-03-10T01:47:26.636000+00:00","0.416666666666667",NA,NA,NA,NA,"863a3f549c10761580c71a584a945687299e7f16","1891-06-04","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","ardeidae",NA,NA,"wfvz","urn:lsid:biocol.org:col:34967",NA,"animalia",NA,NA,NA,NA,NA,"baileyville",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:wfvz:eggs:205573","pelecaniformes","chordata",NA,"5ace330b-5888-4a46-a5ac-e428535ed4f3","butorides virescens","virescens","kansas",NA,"00d4a219-2be8-4c28-96eb-6d4b71e7688c",NA,"usa | kansas | nemaha | baileyville",NA,NA,"idigbio","wfvz_205573"
"3",NA,"preservedspecimen",NA,"9758","aves","bird specimens",NA,NA,"collector(s): chester c. lamb",NA,"north america","mexico","mex",NA,1933-10-01 00:00:00,"2015-01-06T22:25:50.044000+00:00","0.433333333333333",NA,NA,NA,NA,"5c1f64b8618e669af1bdd110926f14cc170191ff","1933-10-01","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","25.458424","-108.079763",NA,"FALSE","animalia; chordata; aves; ciconiiformes; ardeidae;","1",NA,"mlz","urn:lsid:biocol.org:col:35295",NA,"animalia",NA,NA,NA,NA,NA,"guamuchil",NA,NA,"54.864",NA,NA,"54.864",NA,"urn:occurrence:arctos:mlz:bird:9758:872822","pelecaniformes","chordata","18178","c2e06358-1f9f-463c-843f-446c0a37fbd0","butorides virescens","virescens","sinaloa",NA,"00f758f6-309d-4f2c-9455-52afd5384820","01 oct 1933","guamuchil",NA,NA,"idigbio","mlz_9758"
"4",NA,"preservedspecimen",NA,"bird-10667","aves","bird",NA,NA,"g. d. alcorn",NA,"north america","united states","usa","pierce",1954-07-24 00:00:00,"2015-02-22T04:38:10.580000+00:00","0.4",NA,NA,NA,NA,"8f06d07e45256571e874ac6b995898d6eae0d70d","1954-07-24","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","47.2530556","-122.4430556",NA,"FALSE","aves | ciconiiformes | ardeidae | butorides",NA,NA,"psm","urn:lsid:biocol.org:col:34825",NA,"animalia",NA,NA,NA,NA,NA,"tacoma",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:psm:bird:bird-10667","pelecaniformes","chordata",NA,"e6d3c1da-a02f-43a2-a5ef-6a035298b933","butorides virescens","virescens","washington",NA,"0107f0ef-b39d-47fc-bce4-357ae0c06cee",NA,"usa | washington | pierce | tacoma",NA,NA,"idigbio","psm_bird-10667"
"5",NA,"preservedspecimen",NA,"20040","aves","bird",NA,NA,"dickerman",NA,"north america","mexico","mex",NA,1961-08-09 00:00:00,"2015-03-10T09:44:18.945000+00:00","0.383333333333333",NA,NA,NA,NA,"96d1452fe5e0c6507c95b6f6e6a193f37b3fa288","1961-08-09","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","|  |  | ciconiiformes | ardeidae | butorides",NA,NA,"mmnh","http://grbio.org/cool/2060-6rgs",NA,"animalia",NA,NA,NA,NA,NA,"ca. 1mi s, 1-2mi e of tlacotalpan, rio culebra",NA,NA,NA,NA,NA,NA,NA,"f3191fae-7e08-11e3-81f0-12313d0829ba","pelecaniformes","chordata",NA,"c778d536-e9d4-422e-8e34-1d74a01f4c48","butorides virescens","virescens","veracruz",NA,"01209d5c-090e-4440-af56-d317f12f24de",NA,"undefined | mexico | veracruz | ca. 1mi s, 1-2mi e of tlacotalpan, rio culebra",NA,NA,"idigbio","mmnh_20040"
"6",NA,"preservedspecimen",NA,"osum birds e 4338","aves","birds",NA,NA,"osburn, r. c. (raymond carroll)",NA,"north america","united states","usa","licking",NA,"2015-02-21T10:53:04.252000+00:00","0.283333333333333",NA,NA,NA,NA,"dd7e2e4cb20734917801d9a917b0a425e8757806",NA,"ardeidae",NA,NA,NA,NA,NA,NA,"butorides","40.8424","-83.3044",NA,"FALSE",NA,"5",NA,"ohio state university - bird division, columbus, oh (osum)",NA,NA,"animalia",NA,NA,NA,NA,NA,"vanatta, licking, ohio, usa",NA,NA,NA,NA,NA,NA,NA,"urn:lsid:biosci.ohio-state.edu:osuc_occurrences:osum__birds__e__4338","pelecaniformes","chordata",NA,"3b9ecf1e-3c04-4d8b-84cd-9ae48e70e13a","butorides virescens","virescens","ohio",NA,"0121bfbb-223f-4367-a806-63e39254131a",NA,NA,NA,NA,"idigbio","ohio state university - bird division, columbus, oh (osum)_osum birds e 4338"
"7",NA,"preservedspecimen",NA,"205497","aves","eggs",NA,NA,"morgan martin","green heron","north america","united states","usa","sumner",1888-06-15 00:00:00,"2015-03-10T01:02:10.158000+00:00","0.416666666666667",NA,NA,NA,NA,"c82122a48bfa70151114b565e82a3da989e27d4a","1888-06-15","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","ardeidae",NA,NA,"wfvz","urn:lsid:biocol.org:col:34967",NA,"animalia",NA,NA,NA,NA,NA,"wellington",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:wfvz:eggs:205497","pelecaniformes","chordata",NA,"5ace330b-5888-4a46-a5ac-e428535ed4f3","butorides virescens","virescens","kansas",NA,"0148d721-66b3-4ba0-a136-39bc84b4901c",NA,"usa | kansas | sumner | wellington",NA,NA,"idigbio","wfvz_205497"
"8",NA,"preservedspecimen",NA,"50440","aves","birds",NA,NA,NA,NA,"north america","united states","usa","san diego",1999-06-23 00:00:00,"2015-04-09T21:20:23.506000+00:00","0.4",NA,NA,NA,NA,"d211630f4dea3935ad11a97dbf4a164db0dc3935","1999-06-23","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","32.7786153","-117.230301",NA,"FALSE","butorides",NA,NA,"sdnhm","urn:lsid:biocol.org:col:34836",NA,"animalia",NA,NA,NA,NA,NA,"mission bay",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:sdnhm:birds:50440","pelecaniformes","chordata",NA,"e01c69a9-c561-4e3d-8a2e-cfeeb4d9528e","butorides virescens","virescens","california",NA,"01575890-12f7-4b13-be4e-8d1646004417","6/23/1999","usa | ca | san diego | mission bay",NA,NA,"idigbio","sdnhm_50440"
"9",NA,"preservedspecimen",NA,"zo-11528","aves","zo",NA,NA,NA,NA,"north america","united states","usa",NA,1905-05-24 00:00:00,"2015-02-22T10:55:40.282000+00:00","0.383333333333333",NA,NA,NA,NA,"8d4dd307510520252649e75631f16b15710588b6","1905-05-24","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","42.451541","-73.65451",NA,"FALSE","animalia | chordata | aves | [not recorded] | ardeidae | butorides","4",NA,"nysm","urn:lsid:biocol.org:col:35009",NA,"animalia",NA,NA,NA,NA,NA,"kinderhook / chatham twp.  kinderhook lake.",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:nysm:zo:zo-11528","pelecaniformes","chordata",NA,"a8f0fbaf-68b3-4e73-83d7-24d238ac966d","butorides virescens","virescens","new york",NA,"01610d9c-6171-4402-a5b6-27aec680622f","1905-05-24","usa | new york | columbia | kinderhook / chatham twp.  kinderhook lake.",NA,NA,"idigbio","nysm_zo-11528"
"10",NA,"preservedspecimen",NA,"43340","aves","bird",NA,NA,"parkes, s.",NA,"north america","united states","usa","orange",1985-07-11 00:00:00,"2015-03-10T02:53:51.572000+00:00","0.433333333333333",NA,NA,NA,NA,"13353b796e3601f711c5d12c322f983bfe384b62","1985-07-11","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","33.663925","-117.9167747",NA,"FALSE","ciconiiformes | ardeidae | butorides",NA,NA,"wfvz","urn:lsid:biocol.org:col:34967",NA,"animalia",NA,NA,NA,NA,NA,"costa mesa",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:wfvz:bird:43340","pelecaniformes","chordata",NA,"5ace330b-5888-4a46-a5ac-e428535ed4f3","butorides virescens","virescens","california",NA,"01613b06-03ad-4267-bfae-f20a5c7ce682","11 jul 1985","north america | usa | california | orange | costa mesa",NA,NA,"idigbio","wfvz_43340"
