"type","institutionid","collectionid","institutioncode","collectioncode","datasetname","ownerinstitutioncode","basisofrecord","informationwithheld","dynamicproperties","occurrenceid","catalognumber","recordnumber","recordedby","individualcount","sex","lifestage","reproductivecondition","behavior","establishmentmeans","occurrencestatus","preparations","disposition","associatedmedia","othercatalognumbers","occurrenceremarks","associatedoccurrences","previousidentifications","fieldnumber","eventdate","eventtime","startdayofyear","enddayofyear","year","month","day","verbatimeventdate","habitat","samplingprotocol","eventremarks","highergeography","continent","waterbody","islandgroup","island","country","countrycode","stateprovince","county","municipality","locality","verbatimlocality","minimumelevationinmeters","maximumelevationinmeters","verbatimelevation","locationaccordingto","locationremarks","decimallatitude","decimallongitude","geodeticdatum","coordinateuncertaintyinmeters","coordinateprecision","verbatimcoordinates","verbatimlatitude","verbatimlongitude","verbatimcoordinatesystem","georeferencedby","georeferenceddate","georeferenceprotocol","georeferencesources","georeferenceverificationstatus","georeferenceremarks","identificationqualifier","identifiedby","dateidentified","identificationverificationstatus","identificationremarks","scientificname","higherclassification","kingdom","phylum","class","order","family","genus","specificepithet","infraspecificepithet","taxonrank","scientificnameauthorship","vernacularname","nomenclaturalcode","inst_cat"
"observation","urn:lsid:biocol.org:col:34858",NA,"FLMNH","Audio",NA,NA,"MachineObservation",NA,NA,"urn:catalog:FLMNH:Audio:27432","27432",NA,"Ben B, Jr. Coffey",NA,"unknown","unknown",NA,NA,"native","present",NA,NA,NA,"BBC1971-20","Extact location not indicated for cut, either Pozos Colorados or Irotamal Hotel. georeferenceRemarks: Point placed halfway between Pozos Colorados and Irotama Hotel along Rodadero - Cruce Alcatraces; extent to northern edge of Pozos Colorados, near Policia Nacional Station.",NA,NA,NA,"1971-07-22",NA,"203","203","1971","7","22","7/22/1971",NA,NA,NA,"South America | Colombia | Caribbean Region | Magdalena District |  |  |  |","South America",NA,NA,NA,"Colombia","CO","Magdalena",NA,NA,"; Irotama Hotel or Pozos ColoradosSanta Marta (south of)","South America | Colombia | Caribbean Region | Magdalena District | ; Irotama Hotel or Pozos ColoradosSanta Marta (south of)",NA,NA,NA,NA,NA,"11.157454","-74.223645","WGS84","1652",NA,NA,"11.157454","-74.223645",NA,NA,NA,NA,NA,"requires verification",NA,NA,NA,NA,NA,NA,"Butorides virescens","Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens",NA,"species",NA,"Green Heron","ICZN","flmnh_27432"
"observation","urn:lsid:biocol.org:col:34858",NA,"FLMNH","Audio",NA,NA,"MachineObservation",NA,NA,"urn:catalog:FLMNH:Audio:27619","27619",NA,"Ben B, Jr. Coffey","1","unknown","unknown",NA,NA,"native","present",NA,NA,NA,"BBC1971-12","georeferenceRemarks:Point placed at Hotel Parador Ticuna at Carrera 11 and Calle 6, extent at Columbia-Brazil frontier.",NA,NA,NA,"1971-03-06",NA,"65","65","1971","3","6","3/6/1971",NA,NA,NA,"South America | Colombia | none | none |  |  |  |","South America",NA,NA,NA,"Colombia","CO",NA,NA,NA,"; Leticia (south-eastern, to Brazil frontier)Leticia","South America | Colombia | none | none | ; Leticia (south-eastern, to Brazil frontier)Leticia",NA,NA,NA,NA,NA,"-4.217947","-69.942578","WGS84","584",NA,NA,"-4.217947","-69.942578",NA,NA,NA,NA,NA,"requires verification",NA,NA,NA,NA,NA,NA,"Butorides virescens","Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens",NA,"species",NA,"Green Heron","ICZN","flmnh_27619"
"observation","urn:lsid:biocol.org:col:34939",NA,"CUML","Sound/Film",NA,NA,"MachineObservation",NA,NA,"urn:catalog:CUML:Sound/Film:107007","107007",NA,"Randolph Little","1",NA,NA,NA,"call","native","present",NA,NA,"http://macaulaylibrary.org/audio/107007",NA,"""NOTES: [This is the Alarm Call (""""Skow"""") described in BNA account.  Quality added (2-1 - a bit of tape hiss) - CAM - 28 February 2005]""",NA,NA,NA,"1999-07-31",NA,"212","212","1999","7","31","31 Jul 1999",NA,NA,NA,";United States;New Jersey;Somerset;;;;","North America",NA,NA,NA,"United States","US","New Jersey","Somerset",NA,"Pottersville","United States; New Jersey; Somerset; Pottersville",NA,NA,NA,NA,NA,"40.7155556","-74.795","not recorded (forced WGS84)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"requires verification",NA,NA,NA,NA,NA,NA,"Butorides virescens",NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens",NA,"species",NA,"Green Heron","ICZN","cuml_107007"
"observation","urn:lsid:biocol.org:col:34939",NA,"CUML","Sound/Film",NA,NA,"MachineObservation",NA,NA,"urn:catalog:CUML:Sound/Film:135442","135442",NA,"Michael Andersen","1",NA,NA,NA,"call","native","present",NA,NA,"http://macaulaylibrary.org/audio/135442",NA,NA,NA,NA,NA,"2007-03-09",NA,"68","68","2007","3","9","9 Mar 2007",NA,NA,NA,";United States;Florida;Collier;;;;","North America",NA,NA,NA,"United States","US","Florida","Collier",NA,"Big Cypress National Preserve; Wagon Wheel Road","United States; Florida; Collier; Big Cypress National Preserve; Wagon Wheel Road",NA,NA,NA,NA,NA,"25.99415","-81.2989667","not recorded (forced WGS84)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"requires verification",NA,NA,NA,NA,NA,NA,"Butorides virescens",NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens",NA,"species",NA,"Green Heron","ICZN","cuml_135442"
"observation","urn:lsid:biocol.org:col:34939",NA,"CUML","Sound/Film",NA,NA,"MachineObservation",NA,NA,"urn:catalog:CUML:Sound/Film:138396","138396",NA,"Gregory Budney","1",NA,NA,NA,"call","native","present",NA,NA,"http://macaulaylibrary.org/audio/138396",NA,NA,NA,NA,NA,"1996-04-13",NA,"103","103","1996","4","13","13 Apr 1996",NA,NA,NA,";United States;Florida;Collier;;;;","North America",NA,NA,NA,"United States","US","Florida","Collier",NA,"Corkscrew Swamp Sanctuary","United States; Florida; Collier; Corkscrew Swamp Sanctuary",NA,NA,NA,NA,NA,"26.3735833","-81.6032694","not recorded (forced WGS84)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"requires verification",NA,NA,NA,NA,NA,NA,"Butorides virescens",NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens",NA,"species",NA,"Green Heron","ICZN","cuml_138396"
"observation",NA,NA,"ANSP","ORN",NA,NA,"Occurrence",NA,NA,"ANSP ORN 187672","187672",NA,NA,NA,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996","6","10",NA,NA,NA,NA,NA,"North America",NA,NA,NA,"USA",NA,"Virginia","Accomack",NA,"Wachapreague Inlet",NA,"1",NA,NA,NA,NA,"37.58333333","-75.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butorides virescens virescens",NA,NA,NA,NA,NA,NA,"Butorides","virescens","virescens",NA,NA,NA,NA,"ansp_187672"
"observation",NA,NA,"ANSP","ORN",NA,NA,"Occurrence",NA,NA,"ANSP ORN 190076","190076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1919","5","25",NA,NA,NA,NA,NA,"North America",NA,NA,NA,"USA",NA,"Maryland","Prince George's",NA,"East Riverdale",NA,NA,NA,NA,NA,NA,"38.95","-76.91666667",NA,NA,NA,NA,"38.9621","-76.9219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butorides virescens",NA,NA,NA,NA,NA,NA,"Butorides","virescens",NA,NA,NA,NA,NA,"ansp_190076"
"specimen","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"MCZ","Orn",NA,"Museum of Comparative Zoology, Harvard University","PreservedSpecimen",NA,"sex: female","MCZ:Orn:334813","334813","189","W.W. Worthington","1","female",NA,NA,NA,NA,NA,"skin (dry)","unknown",NA,"collector number=189",NA,NA,NA,NA,"1890-04-23",NA,"0",NA,NA,NA,NA,"23/4/1890",NA,NA,NA,"North America, United States, Georgia, McIntosh","North America",NA,NA,NA,"United States",NA,"Georgia","McIntosh",NA,NA,NA,NA,NA,NA,NA,NA,"31.4979859","-81.420681","WGS84","25446","25446",NA,"31.4979859d","-81.420681d","decimal degrees","Michelle Fucci (UMMZ)",NA,"MaNIS/HerpNET/ORNIS Georeferencing Guidelines","BioGeomancer",NA,NA,NA,"[no agent data]",NA,"unverified",NA,"Butorides virescens","Animalia Chordata Vertebrata Aves Neornithes Ciconiiformes Ardeae Ardeidae Butorides virescens","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens",NA,NA,"(Linnaeus, 1758)",NA,"ICZN","mcz_334813"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a38518a8-c591-11e3-acd2-03413f76937f","85248","TSBR 07-1737","Tri-State Bird Rescue",NA,"male","immature",NA,NA,"native","present","skin | tissue",NA,NA,NA,NA,NA,NA,NA,"2007-07-21",NA,"202","202","2007","7","21","21Jul2007",NA,NA,NA,"North America | USA | Pennsylvania | Delaware |  |  |  |","North America",NA,NA,NA,"United States","US","Pennsylvania","Delaware",NA,"Chadds Ford, Brandywine River Museum","North America | USA | Pennsylvania | Delaware | Chadds Ford, Brandywine River Museum",NA,NA,NA,NA,NA,"39.871079","-75.5925465","WGS84","213",NA,NA,NA,NA,NA,"Hasenjager , Matthew","2009-4-10","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator",NA,NA,NA,NA,NA,NA,"Butorides virescens virescens","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","virescens","subspecies",NA,NA,"ICZN","dmnh_85248"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a38694fe-c591-11e3-acd2-03413f76937f","85356","TSBR 03-2238","Tri-State Bird Rescue",NA,"male","immature",NA,NA,"native","present","skeleton | tissue | wing",NA,NA,NA,NA,NA,NA,NA,"2003-09-21",NA,"264","264","2003","9","21","21Sep2003",NA,NA,NA,"North America | USA | Delaware | Sussex |  |  |  |","North America",NA,NA,NA,"United States","US","Delaware","Sussex",NA,"Lewes, Cape Henlopen State Park","North America | USA | Delaware | Sussex | Lewes, Cape Henlopen State Park",NA,NA,NA,NA,NA,"38.769878","-75.0985909","WGS84","3930",NA,NA,NA,NA,NA,"Millen, Bradley G.","2009-10-21","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator",NA,NA,NA,NA,NA,NA,"Butorides virescens","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens",NA,"species",NA,NA,"ICZN","dmnh_85356"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a38fa229-c591-11e3-acd2-03413f76937f","368",NA,"du Pont, John E.",NA,"male","adult",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1956-06-07",NA,"159","159","1956","6","7","07Jun1956",NA,NA,NA,"North America | USA | Pennsylvania | Delaware |  |  |  |","North America",NA,NA,NA,"United States","US","Pennsylvania","Delaware",NA,"; : no specific location","North America | USA | Pennsylvania | Delaware | ; : no specific location",NA,NA,NA,NA,NA,"39.9102629","-75.4115295","WGS84","8805",NA,NA,NA,NA,NA,"Hasenjager , Matthew","2009-4-10","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator",NA,NA,NA,NA,NA,NA,"Butorides virescens virescens","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","virescens","subspecies",NA,NA,"ICZN","dmnh_368"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a3c096ff-c591-11e3-acd2-03413f76937f","5652","JEL 05084","Law, J. Eugene",NA,"female","immature",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1916-08-15",NA,"228","228","1916","8","15","15Aug1916",NA,NA,NA,"North America | USA | California | Los Angeles |  |  |  |","North America",NA,NA,NA,"United States","US","California","Los Angeles",NA,"Lankershim","North America | USA | California | Los Angeles | Lankershim",NA,NA,NA,NA,NA,"34.1638067","-118.3739089","WGS84","1317",NA,NA,NA,NA,NA,"Woods, Jean L.","2012-8-28","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator","Historic town (also called Toluca) now part of North Hollywood (see 1902 Santa Monica quad).",NA,NA,NA,NA,NA,"Butorides virescens anthonyi","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","anthonyi","subspecies",NA,NA,"ICZN","dmnh_5652"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a3c09885-c591-11e3-acd2-03413f76937f","5653","JEL 05105","Law, J. Eugene",NA,"male","adult",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1916-08-22",NA,"235","235","1916","8","22","22Aug1916",NA,NA,NA,"North America | USA | California | Los Angeles |  |  |  |","North America",NA,NA,NA,"United States","US","California","Los Angeles",NA,"Lankershim","North America | USA | California | Los Angeles | Lankershim",NA,NA,NA,NA,NA,"34.1638067","-118.3739089","WGS84","1317",NA,NA,NA,NA,NA,"Woods, Jean L.","2012-8-28","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator","Historic town (also called Toluca) now part of North Hollywood (see 1902 Santa Monica quad).",NA,NA,NA,NA,NA,"Butorides virescens anthonyi","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","anthonyi","subspecies",NA,NA,"ICZN","dmnh_5653"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a3c09a0d-c591-11e3-acd2-03413f76937f","5654","JEL 05420","Law, J. Eugene",NA,"female","adult",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1917-04-24",NA,"114","114","1917","4","24","24Apr1917",NA,NA,NA,"North America | USA | California | Los Angeles |  |  |  |","North America",NA,NA,NA,"United States","US","California","Los Angeles",NA,"Lankershim","North America | USA | California | Los Angeles | Lankershim",NA,NA,NA,NA,NA,"34.1638067","-118.3739089","WGS84","1317",NA,NA,NA,NA,NA,"Woods, Jean L.","2012-8-28","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator","Historic town (also called Toluca) now part of North Hollywood (see 1902 Santa Monica quad).",NA,NA,NA,NA,NA,"Butorides virescens anthonyi","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","anthonyi","subspecies",NA,NA,"ICZN","dmnh_5654"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a3cc1955-c591-11e3-acd2-03413f76937f","6886","AHM 05280","McLellan, Anton H",NA,"male","adult",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1933-06-24",NA,"175","175","1933","6","24","24Jun1933",NA,NA,NA,"North America | USA | Texas | El Paso |  |  |  |","North America",NA,NA,NA,"United States","US","Texas","El Paso",NA,"no specific locality","North America | USA | Texas | El Paso | no specific locality",NA,NA,NA,NA,NA,"31.6955003","-106.2976645","WGS84","5757",NA,NA,NA,NA,NA,"Corgiat , Suzy","2009-3-26","VertNet Georeferencing Guidelines","Topo USA","verified by curator",NA,NA,NA,NA,NA,NA,"Butorides virescens anthonyi","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","anthonyi","subspecies",NA,NA,"ICZN","dmnh_6886"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a4815b47-c591-11e3-acd2-03413f76937f","17416","JEL 05067","Law, J. Eugene",NA,"female","adult",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1916-08-08",NA,"221","221","1916","8","8","08Aug1916",NA,NA,NA,"North America | USA | California | Los Angeles |  |  |  |","North America",NA,NA,NA,"United States","US","California","Los Angeles",NA,"Lankershim","North America | USA | California | Los Angeles | Lankershim",NA,NA,NA,NA,NA,"34.1638067","-118.3739089","WGS84","1317",NA,NA,NA,NA,NA,"Woods, Jean L.","2012-8-28","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator","Historic town (also called Toluca) now part of North Hollywood (see 1902 Santa Monica quad).",NA,NA,NA,NA,NA,"Butorides virescens anthonyi","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","anthonyi","subspecies",NA,NA,"ICZN","dmnh_17416"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a4815d33-c591-11e3-acd2-03413f76937f","17417","JEL 05068","Law, J. Eugene",NA,"female","immature",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1916-08-08",NA,"221","221","1916","8","8","08Aug1916",NA,NA,NA,"North America | USA | California | Los Angeles |  |  |  |","North America",NA,NA,NA,"United States","US","California","Los Angeles",NA,"Lankershim","North America | USA | California | Los Angeles | Lankershim",NA,NA,NA,NA,NA,"34.1638067","-118.3739089","WGS84","1317",NA,NA,NA,NA,NA,"Woods, Jean L.","2012-8-28","VertNet Georeferencing Guidelines","BioGeomancer","verified by curator","Historic town (also called Toluca) now part of North Hollywood (see 1902 Santa Monica quad).",NA,NA,NA,NA,NA,"Butorides virescens anthonyi","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","anthonyi","subspecies",NA,NA,"ICZN","dmnh_17417"
"specimen","http://biocol.org/urn:lsid:biocol.org:col:34940","http://grbio.org/cool/ywsm-eq6q","DMNH","Bird","Delaware Museum of Natural History (DMNH) Bird Collection",NA,"PreservedSpecimen",NA,NA,"a589bef0-c591-11e3-acd2-03413f76937f","34294",NA,"Sutton, George M",NA,"male","immature",NA,NA,"native","present","skin",NA,NA,NA,NA,NA,NA,NA,"1946-08-01",NA,"213","213","1946","8","1","01Aug1946",NA,NA,NA,"North America | USA | Michigan | Livingston |  |  |  |","North America",NA,NA,NA,"United States","US","Michigan","Livingston",NA,"Edwin S. George Reserve","North America | USA | Michigan | Livingston | Edwin S. George Reserve",NA,NA,NA,NA,NA,"42.4563332","-84.0127487","WGS84","1798",NA,NA,NA,NA,NA,"Bolig , Robin","2002-12-3","VertNet Georeferencing Guidelines","Topozone.com 1:50,000, E.S. George Reserve map (1979; grid 1963)","verified by curator",NA,NA,NA,NA,NA,NA,"Butorides virescens virescens","Ciconiiformes | Ardeidae | Butorides","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Butorides","virescens","virescens","subspecies",NA,NA,"ICZN","dmnh_34294"
