id,inhs:dead,inhs:total_Males,dwc:county,dwc:locality,idigbio:tribe,dwc:infraspecificEpithet,dwc:earliestEonOrLowestEonothem,dwc:rightsHolder,dwc:lifeStage,dwc:taxonomicStatus,inhs:juv_females,inhs:locationTrs,inhs:location_Basin,dwc:earliestAgeOrLowestStage,inhs:superfamily,dwc:ownerInstitutionCode,dwc:taxonRank,dwc:bed,dwc:country,dwc:verbatimDepth,inhs:instars_Female,dwc:identificationID,dcterms:source,dwc:maximumElevationInMeters,inhs:instars_Male,dwc:waterBody,dwc:family,idigbio:associateCondition,idigbio:associateAuthor,dwc:identificationReferences,symbiota:verbatimScientificName,dwc:rights,dwc:island,dwc:geodeticDatum,dcterms:bibliographicCitation,dwc:nomenclaturalCode,dcterms:type,inhs:vouchered,idigbio:associateCommonName,dwc:earliestEpochOrLowestSeries,fcc:datePicked,dwc:namePublishedIn,dwc:verbatimCoordinateSystem,dwc:coordinateUncertaintyInMeters,dwc:day,dwc:lithostratigraphicTerms,dwc:identificationRemarks,dwc:verbatimTaxonRank,dwc:individualID,dwc:latestPeriodOrHighestSystem,idigbio:determinationHistory,dwc:recordedBy,dwc:order,dcterms:references,dwc:islandGroup,dcterms:accessRights,dwc:group,dwc:dateIdentified,idigbio:associatedFamily,dwc:informationWithheld,dwc:scientificNameID,dwc:verbatimElevation,dcterms:rightsHolder,dwc:establishmentMeans,dwc:taxonID,dwc:namePublishedInYear,dwc:maximumDepthInMeters,inhs:live,dwc:typeStatus,dwc:verbatimLatitude,dwc:occurrenceStatus,fcc:subfamily,dwc:locationID,dwc:basisOfRecord,dwc:taxonRemarks,dc:rights,dwc:latestEpochOrHighestSeries,dwc:dynamicProperties,inhs:relic,dwc:municipality,dwc:previousIdentifications,dwc:latestAgeOrHighestStage,dwc:lowestBiostratigraphicZone,dwc:vernacularName,dwc:fieldNotes,dwc:institutionCode,dwc:samplingEffort,dwc:class,inhs:formII_males,dwc:member,collection_name,dwc:minimumDepthInMeters,dwc:verbatimLocality,ingest,idigbio:associateNotes,dwc:phylum,dcterms:rights,symbiotaverbatimScientificName,dwc:relatedResourceID,dwc:minimumElevationInMeters,dwc:associatedTaxa,data_rights,dwc:samplingProtocol,dwc:originalNameUsage,dwc:startDayOfYear,dwc:verbatimCoordinates,idigbio:substrate,idigbio:etag,idigbio:uuid,dwc:georeferencedDate,inhs:formII_females,dwc:habitat,dwc:scientificNameAuthorship,dwc:occurrenceID,dwc:associatedMedia,dwc:dataGeneralizations,inhs:location_RiverMile,dwc:namePublishedInID,symbiota:recordEnteredBy,inhs:location_Stream,idigbio:associateDeterminedBy,dwc:earliestPeriodOrLowestSystem,dwc:subgenus,dwc:decimalLatitude,idigbio:hostFamily,dwc:georeferenceRemarks,dwc:occurrenceRemarks,row number,dwc:preparations,dwc:identificationVerificationStatus,idigbio:subfamily,idigbio:preparationCount,fcc:pickedBy,dwc:eventRemarks,dwc:VerbatimEventDate,dwc:associatedReferences,dwc:higherGeographyID,link,idigbio:endangeredStatus,dwc:locationAccordingTo,dwc:georeferenceSources,dwc:associatedSequences,dwc:formation,dwc:higherClassification,dwc:catalogNumber,dwc:verbatimSRS,dwc:higherGeography,dwc:individualCount,dwc:decimalLongitude,dwc:datasetName,dwc:month,dwc:georeferencedBy,dwc:eventTime,dwc:identificationQualifier,idigbio:associateRelationship,dwc:behavior,dwc:specificEpithet,dwc:countryCode,idigbio:associateIdentifier,dwc:kingdom,idigbio:recordID,dwc:fieldNumber,dwc:coordinatePrecision,inhs:juv_males,inhs:juv_undetermined,dcterms:language,dwc:stateProvince,dwc:eventDate,inhs:total_females,dwc:collectionID,idigbio:recordId,dwc:collectionCode,dwc:nameAccordingTo,idigbio:barcodeValue,dwc:verbatimLongitude,dwc:georeferenceVerificationStatus,dwc:associatedOccurrences,inhs:formI_males,dwc:recordNumber,dwc:genus,dwc:continent,dwc:sex,dwc:identifiedBy,idigbio:version,dwc:disposition,collection_description,update,dwc:preparation,dwc:latestEraOrHighestErathem,idigbio:associatedRelationship,idigbio:dateModified,dwc:accessRights,dwc:institutionID,dwc:locationRemarks,dwc:reproductiveCondition,dwc:eventID,idigbio:subgenus,dwc:endDayOfYear,dwc:scientificName,dwc:nomenclaturalStatus,dwc:otherCatalogNumbers,dwc:verbatimEventDate,dcterms:reference,dwc:earliestEraOrLowestErathem,idigbio:preservative,dwc:georeferenceProtocol,dcterms:modified,fcc:superfamily,dwc:footprintWKT,dwc:datasetID,dwc:year
5eab9655-f967-45ef-b8fa-5e8632163c59,,,Addison,,,,,,,,,,,,,,,,United States of America,,,,,,,,Orchidaceae,,,,,,,,,,,,,,,,,,15,,,,,,,H. W. Child; C. Hosford,Asparagales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=673042,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,Monkton,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,257d6ec66935e4f2cec9c394331a127bc44bd50e,5eab9655-f967-45ef-b8fa-5e8632163c59,,,,(L.) Crantz,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/066918cc-3e03-4a13-96e9-ec8dac419a44,,,,,chris,,,,,,,,,,,,,,,,,,,,,,,,,,00145025,,,,,,9,,,,,,helleborine,,,Chlorobionta,,,,,,,Vermont,1928-09-15,,urn:lsid:biocol.org:col:15408,urn:uuid:6703e274-eb7b-44ca-9ec1-5612e01deea8,AMES,,,,,,,,Epipactis,,,,,,,,,,,2015-05-28T06:02:10.278Z,,,,,,,,Epipactis helleborine,,,"Sept. 15, 1928",,,,,2015-05-12 09:40:08,,,,1928
d3ebc60d-6c75-40d4-a437-56a6a17c2f55,,,Norfolk,,,,,,,,,,,,,,,,United States of America,,,,,,,,Ericaceae,,,,,,,,,,,,,,,,,,13,,,,,,,D. Leighton Ordway; S. N. F. Sanford,Ericales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=596665,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,Bellingham,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,4c286389248ed2d28f77b04c6796b9fc3c2b8ab9,d3ebc60d-6c75-40d4-a437-56a6a17c2f55,,,,L.,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/de00f49c-f6b7-4645-902f-146f1c7b7682,,,,,Lian,,,,,,,,,,,,,,,,,,,,,,,,,,00519511,,,,,,5,,,,,,corymbosum,,,Chlorobionta,,,,,,,Massachusetts,1936-05-13,,8a6857c7-a3bc-4ffd-b568-5ad175829f44,urn:uuid:8c79cf6c-b445-4728-9535-66617c0d9d42,AMES,,,,,,,,Vaccinium,,,,,,,,,,,2015-05-28T06:01:49.871Z,,,,,,,,Vaccinium corymbosum,,,"May 13, 1936",,,,,2015-05-12 09:40:08,,,,1936
30c60ac1-5a2c-4360-a83b-5670beffadf0,,,,Jamaica Plain,,,,,,,,,,,,,,,United States of America,,,,,,,,Plantaginaceae,,,,,,,,,,,,,,,,,,0,,,,,,,C. Schweinfurth;,Lamiales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=755442,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,335a64808e842ad869cf0b77fe31badc97f93979,30c60ac1-5a2c-4360-a83b-5670beffadf0,,,,Mill.,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f2f2bc50-38c9-4498-a628-12faaebba2c3,,,,,rebecca,,,,,,,,,,,,,,,,,,,,,,,,,,00633631,,,,,,0,,,,,,vulgaris,,,Chlorobionta,,,,,,,Massachusetts,0000-00-00,,urn:lsid:biocol.org:col:15408,urn:uuid:cc6a296a-e6fb-4910-b96f-bbe881e12382,AMES,,,,,,,7480,Linaria,,,,,,,,,,,2015-05-28T06:01:43.407Z,,,,,,,,Linaria vulgaris,,,,,,,,2015-05-12 09:40:08,,,,0
22be1688-b960-4ca4-802f-6f9f48a0cd7f,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,Fabaceae,,,,,,,,,,,,,,,,,,24,,,,,,,Oakes Ames;,Fabales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=593133,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,North Easton,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,ea8dba0c52c3b8a775daefea81059d02247ff910,22be1688-b960-4ca4-802f-6f9f48a0cd7f,,,,L.,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/022a4098-7825-465a-84d7-880e1265ea3c,,,,,Lian,,,,,,,,,,,,,,,,,,,,,,,,,,00463304,,,,,,6,,,,,,cracca,,,Chlorobionta,,,,,,,Massachusetts,1918-06-24,,8a6857c7-a3bc-4ffd-b568-5ad175829f44,urn:uuid:ff9598f0-ed8b-4638-86e5-0c2b170779fc,AMES,,,,,,,3852,Vicia,,,,,,,,,,,2015-05-28T06:02:29.186Z,,,,,,,,Vicia cracca,,,June 24 1918,,,,,2015-05-12 09:40:08,,,,1918
8f267016-ccc3-46ce-8a50-87a48cfe8cfb,,,Orange,,,brachypoda,,,,,,,,,,,var.,,United States of America,,,,,,,,Orchidaceae,,,,,,,,,,,,,,,,,,8,,,,,,,H. M. Denslow;,Asparagales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=789654,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,Fairlee,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,0120dffe6e54ed6f97230fd6e1a9d175a8cfc6b1,8f267016-ccc3-46ce-8a50-87a48cfe8cfb,,,,(A. Gray) F. Morris & Eames,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cc1fb02c-bef7-4af9-8ee3-7cf1e6f896b5,,,,,ella,,,,,,,,,,,,,,,,,,,,,,,,,,00728664,,,,,,7,,,,,,monophyllos,,,Chlorobionta,,,,,,,Vermont,1918-07-08,,urn:lsid:biocol.org:col:15408,urn:uuid:a345d770-464b-4334-934e-5cef938ec9f8,AMES,,,,,,,4326,Malaxis,,,,,,,,,,,2015-05-28T06:02:29.174Z,,,,,,,,Malaxis monophyllos var. brachypoda,,,July 8 1918,,,,,2015-05-12 09:40:08,,,,1918
a22b9f8f-fb3a-495b-b939-127b8a159db6,,,Hampshire,,,,,,,,,,,,,,,,United States of America,,,,,,,,Ericaceae,,,,,,,,,,,,,,,,,,8,,,,,,,Elmer W. Smith;,Ericales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=596918,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,Amherst,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,bd8efb33a19670aebeb416d2aab9f601c0f25cca,a22b9f8f-fb3a-495b-b939-127b8a159db6,,,,L.,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e0ba78af-349a-4ec6-888d-0c3aa650eaef,,,,,Lian,,,,,,,,,,,,,,,,,,,,,,,,,,00519783,,,,,,5,,,,,,corymbosum,,,Chlorobionta,,,,,,,Massachusetts,1941-05-08,,8a6857c7-a3bc-4ffd-b568-5ad175829f44,urn:uuid:bc147051-a80a-4887-ad73-9c5428831908,AMES,,,,,,,,Vaccinium,,,,,,,,,,,2015-05-28T06:02:16.561Z,,,,,,,,Vaccinium corymbosum,,,V-8-1941,,,,,2015-05-12 09:40:08,,,,1941
24a7de6b-7feb-42dc-a4eb-12293e3231e7,,,Litchfield,,,,,,,,,,,,,,,,United States of America,,,,,,,,Orchidaceae,,,,,,,,,,,,,,,,,,0,,,,,,,H. L. Foster;,Asparagales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=673096,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,Norfolk,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,0519f03abacc3ad50867c629d4b6786def432846,24a7de6b-7feb-42dc-a4eb-12293e3231e7,,,,(L.) Crantz,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f8cafe13-8494-4e3e-8efb-6e8fda1c342c,,,,,chris,,,,,,,,,,,,,,,,,,,,,,,,,,00145071,,,,,,0,,,,,,helleborine,,,Chlorobionta,,,,,,,Connecticut,0000-00-00,,urn:lsid:biocol.org:col:15408,urn:uuid:b31d0b30-1f5f-41f9-8e9e-888c9e8deff7,AMES,,,,,,,,Epipactis,,,,,,,,,,,2015-05-28T06:01:49.902Z,,,,,,,,Epipactis helleborine,,,,,,,,2015-05-12 09:40:08,,,,0
ddecd554-bdb4-4478-a423-b961673d5fcd,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,Orchidaceae,,,,,,,,,,,,,,,,,,,,,,,,,O. Ames;,Asparagales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=615119,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,"field values redacted: eventDate, month, day, verbatimEventDate, locality",,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,a667947e7005b86a59d9feff2ca758ccf2860633,ddecd554-bdb4-4478-a423-b961673d5fcd,,,,(L.) Ker Gawl.,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d8f40aec-c082-42ba-96c8-1a2b90e464e9,,,,,chris,,,,,,,,,,,,,,,,,,,,,,,,,,00569839,,,,,,,,,,,,ophioglossoides,,,Chlorobionta,,,,,,,Massachusetts,,,8a6857c7-a3bc-4ffd-b568-5ad175829f44,urn:uuid:62fe31a1-9026-467e-8f8e-90f9ad1aa6c4,AMES,,,,,,,,Pogonia,,,,,,,,,,,2015-05-28T06:02:29.194Z,,,,,,,,Pogonia ophioglossoides,,,,,,,,2015-05-12 09:40:08,,,,1903
e347a7ff-59bb-4588-813b-18f0d6dfd0d4,,,Strafford,,,,,,,,,,,,,,,,United States of America,,,,,,,,Orchidaceae,,,,,,,,,,,,,,,,,,,,,,,,,R. G. Leavitt;,Asparagales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=615126,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,"field values redacted: eventDate, month, day, verbatimEventDate",,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,Strafford,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,7f589e81ee49d82cf585b777799d4e17c717565a,e347a7ff-59bb-4588-813b-18f0d6dfd0d4,,,,(L.) Ker Gawl.,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b0278e3d-2c7b-4812-9822-8cdc684d54d9,,,,,chris,,,,,,,,,,,,,,,,,,,,,,,,,,00569846,,,,,,,,,,,,ophioglossoides,,,Chlorobionta,,,,,,,New Hampshire,,,8a6857c7-a3bc-4ffd-b568-5ad175829f44,urn:uuid:e0a65de3-125c-4caa-b62b-a15006ebc6c8,AMES,,,,,,,,Pogonia,,,,,,,,,,,2015-05-28T06:01:37.091Z,,,,,,,,Pogonia ophioglossoides,,,,,,,,2015-05-12 09:40:08,,,,1902
b6b0a20e-3c2c-4c08-9fc7-4c1883d7511e,,,Hampshire,,,pubescens,,,,,,,,,,,var.,,United States of America,,,,,,,,Orchidaceae,,,,,,,,,,,,,,,,,,0,,,,,,,A. P. Chute;,Asparagales,http://portal.neherbaria.org/portal/collections/individual/index.php?occid=791087,,http://kiki.huh.harvard.edu/databases/addenda.html#policy,,,,field values redacted: eventDate,,,© 2012 - 2014 President and Fellows of Harvard College,,,,,,,,,,,PreservedSpecimen,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,Ware,,,,,,Harvard University,,Equisetopsida,,,,,,,,Charophyta,,,,,,,,,,,,6300db97dce70891d00260a8f37b51cad88a1e1c,b6b0a20e-3c2c-4c08-9fc7-4c1883d7511e,,,,(Willd.) Knight,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0e5f46cb-2cdb-44ff-9a0e-dc211ecc5699,,,,,chris,,,,,,,,,,,,,,,,,,,,,,,,,,00712594,,,,,,0,,,,,,parviflorum,,,Chlorobionta,,,,,,,Massachusetts,,,urn:lsid:biocol.org:col:15408,urn:uuid:a7fef617-0043-45d3-9654-be534e31ccf8,AMES,,,,,,,,Cypripedium,,,,,,,,,,,2015-05-28T06:02:03.797Z,,,,,,,,Cypripedium parviflorum var. pubescens,,,,,,,,2015-05-12 09:40:08,,,,0
